clase,variable_meta,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
vegetacion_densa,era5_precip,1000,1000,0,0,1.0,0.00020240335445851086,0.0005116280006346705,-1.862645149230957e-09,-9.313225746154785e-10,0.0,0.0,3.0405819416046143e-05,0.0001810174435377121,0.0009151846170425415,0.0032958984375,0.0043496256694197655,280.0,32.0,111.0
vegetacion_densa,modis_AOD_047,1000,154,846,0,0.154,0.3135259729302065,0.13029308523027128,0.0,0.06853999895043672,0.1499499961733818,0.20549999922513962,0.2915000021457672,0.42100000381469727,0.5401000022888183,0.5901699960231781,0.6110000014305115,1.0,0.0,0.0
vegetacion_densa,modis_AOD_055,1000,154,846,0,0.154,0.22685389660673771,0.095293377074425,0.0,0.049050000910647214,0.10730000138282776,0.1482500024139881,0.20999999344348907,0.3057499974966049,0.39240000545978543,0.4307599937915802,0.44600000977516174,1.0,0.0,0.0
vegetacion_densa,modis_WV,1000,988,12,0,0.988,1.9424119420907637,1.2146369881430998,0.10000000149011612,0.14524000376462937,0.2526749953627586,0.8834999799728394,1.8417499661445618,2.840250074863434,4.008474946022034,4.462649908065796,4.894999980926514,0.0,0.0,0.0
suelo_urbano,lat,1000,1000,0,0,1.0,3.4557316715938025,0.04620767516318621,3.369041641561985,3.3754663924740047,3.411073813705918,3.4224914009670715,3.451282405823089,3.4641058565038887,3.579876238744738,3.58544669182156,3.5879610763018097,0.0,0.0,89.0
suelo_urbano,lon,1000,1000,0,0,1.0,-76.50751848852686,0.022402793805426226,-76.55847093144284,-76.55667969076629,-76.54796962577133,-76.52321205654064,-76.50600931884951,-76.4937922309853,-76.46854507992477,-76.46360793912318,-76.46073422852923,0.0,1000.0,0.0
suelo_urbano,ndvi,1000,1000,0,0,1.0,0.18091952322128657,0.06526289360256492,-0.0033924202424536385,0.02537827401242352,0.07446561479358345,0.1334383396731899,0.17685551943164182,0.23559415023308347,0.28466469140417877,0.295889759835015,0.29960549079938037,0.0,1.0,0.0
suelo_urbano,ndbi,1000,1000,0,0,1.0,0.09252990273027742,0.053489610621683066,-0.10285386305862523,-0.04971744094356821,-0.0015997195926962162,0.058925133389404846,0.09656695049996504,0.13417763252372378,0.16923709779360852,0.1859917353853432,0.1967571334000797,0.0,54.0,7.0
suelo_urbano,scl_pct,1000,1000,0,0,1.0,0.89803076171875,0.17246885883184787,0.30517578125,0.3251953125,0.48060302734375,0.88037109375,0.9931640625,1.0,1.0,1.0,1.0,0.0,0.0,148.0
suelo_urbano,no2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
suelo_urbano,so2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
suelo_urbano,o3,1000,0,1000,0,0.0,,,,,,,,,,,,,,
suelo_urbano,era5_T2m,1000,1000,0,0,1.0,297.14373330688477,1.9668485957080104,291.964599609375,292.1756286621094,294.6410827636719,295.7847366333008,296.8431396484375,298.2544250488281,300.88824462890625,301.96307373046875,303.1817321777344,0.0,0.0,20.0
suelo_urbano,era5_Td2m,1000,1000,0,0,1.0,292.06323681640623,1.3948363498362604,288.56011962890625,288.9241943359375,289.68402099609375,291.20904541015625,292.00958251953125,292.8184051513672,294.4569396972656,294.7645568847656,296.30487060546875,0.0,0.0,12.0
suelo_urbano,era5_u10,1000,1000,0,0,1.0,0.48983162675797937,0.721803336149962,-1.2956390380859375,-1.2521114349365234,-0.8328340411186217,0.0047607421875,0.591105580329895,1.07863450050354,1.483206868171692,1.7413902282714844,1.7413902282714844,0.0,249.0,0.0
suelo_urbano,era5_v10,1000,1000,0,0,1.0,-0.7307752293050289,0.4794517276059504,-1.7702184915542603,-1.6987554812431336,-1.5293959975242615,-1.0304807424545288,-0.7903537154197693,-0.4176366627216339,-0.012014597654342651,0.8598976135253906,0.8598976135253906,0.0,961.0,22.0
suelo_urbano,era5_BLH,1000,1000,0,0,1.0,724.3890287475585,147.1985744907224,273.70068359375,273.70068359375,521.989013671875,638.5959167480469,722.8216552734375,796.624267578125,978.3900146484375,1116.6490478515625,1154.5648193359375,0.0,0.0,65.0
suelo_urbano,era5_RH850,1000,1000,0,0,1.0,88.85218881988526,5.999485990569098,51.908485412597656,68.40288543701172,78.79818725585938,86.5076904296875,90.29994201660156,93.035888671875,95.3516845703125,96.23123168945312,96.82610321044922,0.0,0.0,39.0
suelo_urbano,era5_psurf,1000,1000,0,0,1.0,86581.3170078125,1865.2558274892342,85093.546875,85139.84484375,85167.8671875,85298.205078125,85386.8984375,89358.234375,89570.761328125,89725.8203125,89783.1171875,0.0,0.0,0.0
suelo_urbano,era5_precip,1000,1000,0,0,1.0,0.0002445433642715216,0.0004428967322378284,-1.862645149230957e-09,-9.313225746154785e-10,0.0,9.96515154838562e-07,9.511783719062805e-05,0.0002732276916503906,0.0009151846170425415,0.0019998550415039062,0.0032958984375,161.0,34.0,97.0
suelo_urbano,modis_AOD_047,1000,122,878,0,0.122,0.3431352448084804,0.11727764118277534,0.04899999871850014,0.14020000651478767,0.1679999977350235,0.23999999463558197,0.341499999165535,0.43574999272823334,0.5406500071287155,0.5743799930810927,0.734000027179718,0.0,0.0,1.0
suelo_urbano,modis_AOD_055,1000,122,878,0,0.122,0.24847677688984598,0.08588345080624094,0.03500000014901161,0.10093999870121478,0.12099999934434891,0.17299999296665192,0.24699999392032623,0.3160000145435333,0.39275000691413875,0.4196400073170661,0.5360000133514404,0.0,0.0,1.0
suelo_urbano,modis_WV,1000,973,27,0,0.973,1.9613186036526606,1.0736164693668542,0.10000000149011612,0.10000000149011612,0.243000003695488,1.0214999914169312,2.049499988555908,2.756500005722046,3.5491000175476075,4.152140007019043,4.609000205993652,0.0,0.0,0.0
