time_idx,time_s2,scl_pct
217,20210925T152639_20210925T152641_T18NUJ,0.102486804
218,20210925T152639_20210925T152641_T18NUK,0.015475278
219,20210930T152641_20210930T152842_T18NUJ,3.0158148e-05
220,20210930T152641_20210930T152842_T18NUK,0.0
221,20211003T153621_20211003T153624_T18NUJ,0.7113454
222,20211003T153621_20211003T153624_T18NUK,0.26460817
223,20211005T152639_20211005T152639_T18NUJ,0.0
224,20211005T152639_20211005T152639_T18NUK,0.0
225,20211008T153619_20211008T153619_T18NUJ,0.66581315
226,20211008T153619_20211008T153619_T18NUK,0.2630121
227,20211010T152641_20211010T152955_T18NUJ,0.14695163
228,20211010T152641_20211010T152955_T18NUK,0.031091273
229,20211013T153621_20211013T153809_T18NUJ,0.5678808
230,20211013T153621_20211013T153809_T18NUK,0.2680073
231,20211015T152639_20211015T152640_T18NUJ,0.1211601
232,20211015T152639_20211015T152640_T18NUK,0.024209816
233,20211018T153619_20211018T153620_T18NUJ,0.5635128
234,20211018T153619_20211018T153620_T18NUK,0.2190923
235,20211020T152641_20211020T153100_T18NUJ,0.00023764357
236,20211020T152641_20211020T153100_T18NUK,3.950849e-06
237,20211023T153621_20211023T153910_T18NUJ,0.2184992
238,20211023T153621_20211023T153910_T18NUK,0.13721542
239,20211025T152639_20211025T152901_T18NUJ,0.043951616
240,20211025T152639_20211025T152901_T18NUK,0.0021904823
241,20211028T153619_20211028T153620_T18NUJ,0.59319514
242,20211028T153619_20211028T153620_T18NUK,0.27033183
243,20211030T152641_20211030T153201_T18NUJ,0.13765159
244,20211030T152641_20211030T153201_T18NUK,0.025301699
245,20211102T153621_20211102T154014_T18NUJ,0.56590384
246,20211102T153621_20211102T154014_T18NUK,0.20649363
247,20211104T152639_20211104T152803_T18NUJ,0.07222705
248,20211104T152639_20211104T152803_T18NUK,0.020571018
249,20211107T153619_20211107T153619_T18NUJ,0.5773332
250,20211107T153619_20211107T153619_T18NUK,0.19620891
251,20211109T152641_20211109T153044_T18NUJ,0.008314496
252,20211109T152641_20211109T153044_T18NUK,0.009658114
253,20211112T153621_20211112T154055_T18NUJ,0.39356744
254,20211112T153621_20211112T154055_T18NUK,0.19863895
255,20211114T152639_20211114T153018_T18NUJ,0.004176508
256,20211114T152639_20211114T153018_T18NUK,0.00035241575
257,20211117T153619_20211117T153700_T18NUJ,0.4329744
258,20211117T153619_20211117T153700_T18NUK,0.18179075
259,20211119T152641_20211119T153117_T18NUJ,0.0008619436
260,20211119T152641_20211119T153117_T18NUK,0.000718857
261,20211122T153621_20211122T154053_T18NUJ,0.36485538
262,20211122T153621_20211122T154053_T18NUK,0.117338635
263,20211124T152639_20211124T153058_T18NUJ,0.07723594
264,20211124T152639_20211124T153058_T18NUK,0.0059488593
265,20211127T153619_20211127T153730_T18NUJ,0.50058067
266,20211127T153619_20211127T153730_T18NUK,0.18395936
267,20211129T152641_20211129T153117_T18NUJ,0.014339146
268,20211129T152641_20211129T153117_T18NUK,0.0031330234
269,20211202T153621_20211202T154056_T18NUJ,0.6185356
270,20211202T153621_20211202T154056_T18NUK,0.23978467
271,20211204T152639_20211204T153057_T18NUJ,0.092051886
272,20211204T152639_20211204T153057_T18NUK,0.01799783
273,20211207T153619_20211207T153726_T18NUJ,0.43139288
274,20211207T153619_20211207T153726_T18NUK,0.098654546
275,20211209T152641_20211209T153115_T18NUJ,0.0
276,20211209T152641_20211209T153115_T18NUK,0.0
277,20211212T153621_20211212T154103_T18NUJ,0.00034010227
278,20211212T153621_20211212T154103_T18NUK,4.1220526e-05
279,20211214T152639_20211214T153122_T18NUJ,0.07511282
280,20211214T152639_20211214T153122_T18NUK,6.044799e-05
281,20211217T153609_20211217T153742_T18NUJ,0.19011039
282,20211217T153609_20211217T153742_T18NUK,0.014582386
283,20211219T152641_20211219T153118_T18NUJ,0.0048632976
284,20211219T152641_20211219T153118_T18NUK,0.0019271583
285,20211222T153621_20211222T154116_T18NUJ,0.07954515
286,20211222T153621_20211222T154116_T18NUK,0.037354223
287,20211224T152639_20211224T153123_T18NUJ,0.04703591
288,20211224T152639_20211224T153123_T18NUK,0.0
289,20211227T153619_20211227T153744_T18NUJ,0.25649497
290,20211227T153619_20211227T153744_T18NUK,0.19058949
291,20211229T152641_20211229T153119_T18NUJ,0.0
292,20211229T152641_20211229T153119_T18NUK,0.0
293,20220101T153621_20220101T154106_T18NUJ,0.0038473369
294,20220101T153621_20220101T154106_T18NUK,8.955258e-06
295,20220103T152639_20220103T153113_T18NUJ,4.8595444e-05
296,20220103T152639_20220103T153113_T18NUK,1.7910515e-05
297,20220106T153619_20220106T153727_T18NUJ,0.00838087
298,20220106T153619_20220106T153727_T18NUK,0.0007189887
299,20220108T152641_20220108T153118_T18NUJ,0.09697405
300,20220108T152641_20220108T153118_T18NUK,0.020701133
301,20220111T153621_20220111T154058_T18NUJ,0.104968466
302,20220111T153621_20220111T154058_T18NUK,0.00032805218
303,20220113T152639_20220113T153102_T18NUJ,0.056952346
304,20220113T152639_20220113T153102_T18NUK,8.5930966e-05
305,20220116T153619_20220116T153730_T18NUJ,0.66881377
306,20220116T153619_20220116T153730_T18NUK,0.24392635
307,20220118T152641_20220118T153117_T18NUJ,0.06066522
308,20220118T152641_20220118T153117_T18NUK,0.0049902517
309,20220121T153621_20220121T153934_T18NUJ,0.04454727
310,20220121T153621_20220121T153934_T18NUK,0.02912658
311,20220123T152639_20220123T153035_T18NUJ,0.110257134
312,20220123T152639_20220123T153035_T18NUK,0.014700582
313,20220126T153619_20220126T153649_T18NUJ,0.10643548
314,20220126T153619_20220126T153649_T18NUK,0.032027625
315,20220128T152641_20220128T153044_T18NUJ,0.07083036
316,20220128T152641_20220128T153044_T18NUK,0.012137799
317,20220131T153621_20220131T153814_T18NUJ,0.12385556
318,20220131T153621_20220131T153814_T18NUK,0.02651079
319,20220202T152639_20220202T152919_T18NUJ,0.064967565
320,20220202T152639_20220202T152919_T18NUK,0.003509605
321,20220205T153619_20220205T153613_T18NUJ,0.18343589
322,20220205T153619_20220205T153613_T18NUK,0.070060536
323,20220207T152641_20220207T152819_T18NUJ,0.0
324,20220207T152641_20220207T152819_T18NUK,1.3959667e-05
325,20220210T153621_20220210T154143_T18NUJ,0.0942153
326,20220210T153621_20220210T154143_T18NUK,0.033276092
327,20220212T152639_20220212T153104_T18NUJ,2.6338995e-07
328,20220212T152639_20220212T153104_T18NUK,0.0012815237
329,20220215T153609_20220215T153612_T18NUJ,0.33675155
330,20220215T153609_20220215T153612_T18NUK,0.028276753
331,20220217T152641_20220217T152734_T18NUJ,0.007766513
332,20220217T152641_20220217T152734_T18NUK,0.007096976
333,20220220T153621_20220220T153621_T18NUJ,0.45135447
