tile_id,clase,fecha_tile,anio,contaminante,ventana_dias,estacion_cercana,municipio_estacion,distancia_km,valor_dagma,dias_con_dato,horas_con_dato
3319,vegetacion_densa,2024-11-06,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,23.11767019855409,,0,0
3320,vegetacion_densa,2024-01-06,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,17.243397746511643,,0,0
3320,vegetacion_densa,2024-01-06,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,17.243397746511643,,0,0
3320,vegetacion_densa,2024-01-06,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,17.243397746511643,,0,0
3321,vegetacion_densa,2022-10-03,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,8.74254387541471,,0,0
3321,vegetacion_densa,2022-10-03,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,8.74254387541471,,0,0
3321,vegetacion_densa,2022-10-03,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,8.74254387541471,,0,0
3322,vegetacion_densa,2021-01-16,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,25.558266864904894,5.6421052631578945,1,19
3322,vegetacion_densa,2021-01-16,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,25.558266864904894,6.33561403508772,3,58
3322,vegetacion_densa,2021-01-16,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,25.558266864904894,6.870030758714969,7,138
3323,vegetacion_densa,2025-04-05,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,25.76912581091134,,0,0
3323,vegetacion_densa,2025-04-05,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,25.76912581091134,,0,0
3323,vegetacion_densa,2025-04-05,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,25.76912581091134,,0,0
3324,vegetacion_densa,2024-01-06,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,29.72756229766775,,0,0
3324,vegetacion_densa,2024-01-06,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,29.72756229766775,,0,0
3324,vegetacion_densa,2024-01-06,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,29.72756229766775,,0,0
3325,vegetacion_densa,2021-05-21,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,21.318232143870897,3.493076923076923,1,13
3325,vegetacion_densa,2021-05-21,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,21.318232143870897,3.572136752136752,3,39
3325,vegetacion_densa,2021-05-21,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,21.318232143870897,3.736225046882942,7,93
3326,vegetacion_densa,2025-05-10,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,26.530172848820484,,0,0
3326,vegetacion_densa,2025-05-10,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,26.530172848820484,,0,0
3326,vegetacion_densa,2025-05-10,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,26.530172848820484,,0,0
3327,vegetacion_densa,2021-07-20,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,15.405082223529076,,0,0
3327,vegetacion_densa,2021-07-20,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,15.405082223529076,,0,0
3327,vegetacion_densa,2021-07-20,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,15.405082223529076,,0,0
3328,vegetacion_densa,2024-12-01,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,17.688864423205384,,0,0
3328,vegetacion_densa,2024-12-01,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,17.688864423205384,,0,0
3328,vegetacion_densa,2024-12-01,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,17.688864423205384,,0,0
3329,vegetacion_densa,2025-11-21,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,15.31814756617052,,0,0
3329,vegetacion_densa,2025-11-21,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,15.31814756617052,,0,0
3329,vegetacion_densa,2025-11-21,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,15.31814756617052,,0,0
3330,vegetacion_densa,2025-09-22,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,15.516877780490121,,0,0
3330,vegetacion_densa,2025-09-22,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,15.516877780490121,,0,0
3330,vegetacion_densa,2025-09-22,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,15.516877780490121,,0,0
3331,vegetacion_densa,2025-12-31,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,29.34191814395515,,0,0
3331,vegetacion_densa,2025-12-31,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,29.34191814395515,,0,0
3331,vegetacion_densa,2025-12-31,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,29.34191814395515,,0,0
3332,vegetacion_densa,2021-07-20,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,19.178654689864796,,0,0
3332,vegetacion_densa,2021-07-20,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,19.178654689864796,,0,0
3332,vegetacion_densa,2021-07-20,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,19.178654689864796,,0,0
3333,vegetacion_densa,2024-10-12,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,19.480952963364892,,0,0
3333,vegetacion_densa,2024-10-12,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,19.480952963364892,,0,0
3333,vegetacion_densa,2024-10-12,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,19.480952963364892,,0,0
3334,vegetacion_densa,2021-09-13,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,17.845127490160117,,0,0
3334,vegetacion_densa,2021-09-13,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,17.845127490160117,,0,0
3334,vegetacion_densa,2021-09-13,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,17.845127490160117,,0,0
3335,vegetacion_densa,2021-05-01,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,17.125477710202965,2.663333333333333,1,9
3335,vegetacion_densa,2021-05-01,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,17.125477710202965,3.9408585858585856,3,43
